12	11	E	-1.0529367161027988E7	97
probinit	1	0.0
probinit	2	0.0
emissionprobs	9	3	H3K36me3	0	0.3643193970281258
emissionprobs	9	3	H3K36me3	1	0.6356806029718741
emissionprobs	9	4	H3K4me1	0	0.975702773700533
emissionprobs	9	4	H3K4me1	1	0.024297226299466873
emissionprobs	9	5	H3K4me2	0	0.9973859662710497
emissionprobs	9	5	H3K4me2	1	0.0026140337289503857
emissionprobs	9	6	H3K4me3	0	0.980907785230537
emissionprobs	9	6	H3K4me3	1	0.019092214769463062
emissionprobs	9	7	H3K79me2	0	0.7795807879555341
emissionprobs	9	7	H3K79me2	1	0.22041921204446605
emissionprobs	9	8	H3K9ac	0	0.9945401984981685
emissionprobs	9	8	H3K9ac	1	0.0054598015018314655
emissionprobs	9	9	H3K9me3	0	0.2123685852370093
emissionprobs	9	9	H3K9me3	1	0.7876314147629907
emissionprobs	9	10	H4K20me1	0	0.9553841344509658
emissionprobs	9	10	H4K20me1	1	0.04461586554903411
emissionprobs	10	0	H2AZ	0	0.9931267786274746
emissionprobs	10	0	H2AZ	1	0.006873221372525386
emissionprobs	10	1	H3K27ac	0	0.9999298586916675
emissionprobs	10	1	H3K27ac	1	7.014130833250026E-5
emissionprobs	10	2	H3K27me3	0	0.9944513307679619
emissionprobs	10	2	H3K27me3	1	0.00554866923203801
emissionprobs	10	3	H3K36me3	0	0.9922858159506175
emissionprobs	10	3	H3K36me3	1	0.007714184049382435
emissionprobs	10	4	H3K4me1	0	0.9993311900321303
emissionprobs	10	4	H3K4me1	1	6.688099678696558E-4
emissionprobs	10	5	H3K4me2	0	0.9998968991798225
emissionprobs	10	5	H3K4me2	1	1.0310082017756412E-4
emissionprobs	10	6	H3K4me3	0	0.999822203182166
emissionprobs	10	6	H3K4me3	1	1.777968178340626E-4
emissionprobs	10	7	H3K79me2	0	0.9997766964963205
emissionprobs	10	7	H3K79me2	1	2.233035036794648E-4
emissionprobs	10	8	H3K9ac	0	0.9999655147795494
emissionprobs	10	8	H3K9ac	1	3.4485220450487745E-5
emissionprobs	10	9	H3K9me3	0	0.6993528240434972
emissionprobs	10	9	H3K9me3	1	0.3006471759565027
emissionprobs	10	10	H4K20me1	0	0.9980111840742997
emissionprobs	10	10	H4K20me1	1	0.001988815925700386
emissionprobs	11	0	H2AZ	0	0.9923018373188097
emissionprobs	11	0	H2AZ	1	0.007698162681190194
emissionprobs	11	1	H3K27ac	0	0.9999014938189712
emissionprobs	11	1	H3K27ac	1	9.850618102885423E-5
emissionprobs	11	2	H3K27me3	0	0.9951164647905222
emissionprobs	11	2	H3K27me3	1	0.0048835352094779155
emissionprobs	11	3	H3K36me3	0	0.9990435862687328
emissionprobs	11	3	H3K36me3	1	9.564137312671802E-4
emissionprobs	11	4	H3K4me1	0	0.9985566183163622
emissionprobs	11	4	H3K4me1	1	0.001443381683637819
emissionprobs	11	5	H3K4me2	0	0.9999067816395457
emissionprobs	11	5	H3K4me2	1	9.321836045421301E-5
emissionprobs	11	6	H3K4me3	0	0.9999811102077131
emissionprobs	11	6	H3K4me3	1	1.8889792286987964E-5
emissionprobs	11	7	H3K79me2	0	0.9998057797984172
emissionprobs	11	7	H3K79me2	1	1.9422020158280768E-4
emissionprobs	11	8	H3K9ac	0	0.9999711246154944
emissionprobs	11	8	H3K9ac	1	2.887538450553338E-5
emissionprobs	11	9	H3K9me3	0	0.9948403355786234
emissionprobs	11	9	H3K9me3	1	0.005159664421376641
